Category,Keyword,Count
research,trial,4518
research,study,3901
research,control,3068
research,patient,2753
research,control trial,2486
research,effect,1761
research,randomize,1739
research,clinical,1580
research,randomized,1485
research,randomize control,1391
research,protocol,1322
research,observational,1245
research,base,1208
research,cancer,1095
research,clinical trial,1071
research,treatment,961
research,observational study,951
research,disease,875
research,intervention,856
research,therapy,830
technology,trial,5781
technology,study,4156
technology,control,3787
technology,control trial,2836
technology,patient,2449
technology,randomize,2359
technology,effect,1818
technology,randomize control,1778
technology,clinical,1701
technology,protocol,1577
technology,intervention,1516
technology,randomized,1504
technology,base,1441
technology,health,1343
technology,observational,1312
technology,care,1128
technology,randomise,1114
technology,adult,1110
technology,clinical trial,1067
technology,treatment,941
treatments,trial,5832
treatments,study,4692
treatments,control,3697
treatments,patient,2868
treatments,control trial,2362
treatments,randomize,2178
treatments,protocol,2091
treatments,treatment,1751
treatments,clinical,1739
treatments,therapy,1667
treatments,cancer,1539
treatments,randomize control,1468
treatments,randomized,1326
treatments,effect,1279
treatments,efficacy,1114
treatments,observational,1065
treatments,clinical trial,1064
treatments,blind,1057
treatments,randomise,1042
treatments,versus,1027
