Category,Keyword,Score
research,study,1901.0869510893847
research,trial,1620.9334957777965
research,patient,1552.6125663745024
research,control,1174.2809285779858
research,effect,1049.367115439351
research,control trial,999.0346071713307
research,clinical,822.914496300996
research,randomize,801.4992409586034
research,randomized,774.6792559555943
research,observational,764.910845410999
research,cancer,740.8580642150271
research,base,684.3066893007153
research,disease,629.3148441381719
research,treatment,615.782970021984
research,protocol,611.1681642678869
research,randomize control,605.8828299658326
research,observational study,592.4326634436461
research,clinical trial,562.8774392665546
research,therapy,497.79292245840566
research,intervention,455.7256993686684
technology,study,2165.0248690026906
technology,trial,1922.9949787010066
technology,control,1349.9643232023147
technology,patient,1298.277906343545
technology,control trial,1091.5089668971216
technology,effect,1061.4095725030584
technology,randomize,1032.626452677408
technology,clinical,915.9561853277603
technology,observational,893.0761952109591
technology,base,853.4507392155261
technology,intervention,840.5450653887706
technology,randomized,828.2860668648837
technology,randomize control,802.121211801836
technology,health,779.0911855121403
technology,protocol,750.7174553324732
technology,adult,687.737941567131
technology,randomise,630.1929893805662
technology,care,620.6998152559204
technology,treatment,572.8467700787014
technology,clinical trial,568.5731994350832
treatments,study,2319.5342606063914
treatments,trial,2013.1681853194946
treatments,patient,1524.4161647215988
treatments,control,1310.834099053087
treatments,treatment,1037.5696102271572
treatments,therapy,1014.7234288051608
treatments,randomize,965.2924444310031
treatments,control trial,958.6836107090625
treatments,protocol,954.3744575967137
treatments,clinical,907.7093468448008
treatments,cancer,865.7271087521788
treatments,effect,822.7127088073016
treatments,observational,762.4125282808882
treatments,randomized,752.1884731073135
treatments,efficacy,749.6686990573055
treatments,randomize control,667.1034683117542
treatments,versus,605.8035586375497
treatments,clinical trial,551.0001496856556
treatments,randomise,545.0321600618764
treatments,blind,542.4639969061859
