Keyword,Score
study,6544.921838728911
trial,5493.983650013944
patient,4438.773559875504
control,3811.3380763080627
control trial,2992.9293913179613
effect,2928.928344724302
randomize,2809.3486457919116
clinical,2696.44466430113
observational,2605.8406796543295
randomized,2333.026552618901
treatment,2282.345419855269
protocol,2265.491485897525
cancer,2130.164486766684
base,2105.830810124624
randomize control,2083.7609310603234
therapy,2035.5523934769285
intervention,1751.3783393442168
clinical trial,1701.709261606877
health,1644.994727290343
randomise,1556.686642421804
