Keyword,Score
virus,11.512581692430583
disease,10.584758625176548
influenza,9.689669319530486
virus disease,8.667566494520988
avian,8.25612006380913
avian influenza,8.25612006380913
marburg virus,5.127551237715886
marburg,5.127551237715886
mpox,5.0
respiratory,3.985809346176235
syndrome,3.634678109511318
infection,3.620291377935519
influenza variant,3.003961064236961
variant virus,3.003961064236961
variant,3.003961064236961
coronavirus,1.9405473865311362
middle east,1.9405473865311362
middle,1.9405473865311362
syndrome coronavirus,1.9405473865311362
respiratory syndrome,1.9405473865311362
