Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,Investors Name,InvestmentnType,Amount in USD
1,2020-01-09,BYJU’S,E-Tech,Tiger Global Management,Private Equity Round,4200000.0
2,2020-01-13,Shuttl,Transportation,Susquehanna Growth Equity,Series C,4200000.0
3,2020-01-09,Mamaearth,E-commerce,Sequoia Capital India,Series B,4200000.0
4,2020-01-02,https://www.wealthbucket.in/,FinTech,Vinod Khatumal,Pre-series A,4200000.0
5,2020-01-02,Fashor,Fashion and Apparel,Sprout Venture Partners,Seed Round,4200000.0
6,2020-01-13,Pando,Logistics,Chiratae Ventures,Series A,4200000.0
7,2020-01-10,Zomato,Hospitality,Ant Financial,Private Equity Round,4200000.0
8,2019-12-12,Ecozen,Technology,Sathguru Catalyzer Advisors,Series A,4200000.0
9,2019-12-06,CarDekho,E-Commerce,Ping An Global Voyager Fund,Series D,4200000.0
10,2019-12-03,Dhruva Space,Aerospace,"Mumbai Angels, Ravikanth Reddy",Seed,4200000.0
11,2019-12-13,Rivigo,Technology,"SAIF Partners, Spring Canter Investment Ltd.",Series F,4200000.0
12,2019-12-17,Healthians,B2B-focused foodtech startup,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,4200000.0
13,2019-12-16,Licious,E-Commerce,Vertex Growth Fund,Series E,4200000.0
14,2019-12-16,InCred,Finance,Unknown,Debt Funding,4200000.0
15,2019-12-14,Trell,Video,Ruizheng Investment,Seed Round,4200000.0
16,2019-12-11,Rein Games,Gaming,Manipal Education and Medical Group (MEMG),Seed Round,4200000.0
17,2019-12-20,Lenskart.com,E-Commerce,SoftBank Vision Fund,Series G,4200000.0
18,2019-11-13,Freshworks,Software,"Sequoia, CapitalG, Accel",Series H,4200000.0
19,2019-11-14,Misters,Health and wellness,"Sauce.vc, Rainforest Ventures",Series B,4200000.0
20,2019-11-13,Sunstone Eduversity Pvt. Ltd,Education,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,4200000.0
21,2019-11-17,Burger Singh,Food and Beverage,RB Investments,Venture,4200000.0
22,2019-11-18,Healthians,Health and Wellness,"DG Daiwa Ventures, DG Incubation",Series B,4200000.0
23,2019-11-15,Ninjacart,B2B Marketing,Trifecta Capital Advisors,Debt Funding,4200000.0
24,2019-11-20,Aye Finance,FinTech,FinTech,Debt Funding,4200000.0
25,2019-11-12,SuperGaming,Video Games,Dream Incubator,Seed Funding,4200000.0
26,2019-11-20,Clumio,SaaS,"Altimeter Capital, Sutter Hill Ventures",Series C,4200000.0
27,2019-11-11,eBikeGo,Last Mile Transportation,Startup Buddy,Seed,4200000.0
28,2019-11-19,Digital Mall Asia,E-Commerce,Amour Infrastructure,Seed Funding,4200000.0
29,2019-11-18,Medikabazaar,Healthcare,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,4200000.0
30,2019-11-15,Vogo Automotive,Last Mile Transportation,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,4200000.0
31,2019-11-19,Furtados School of Music,Education,IAN Fund and DSG Consumer Partners,Unknown,4200000.0
32,2019-11-25,Paytm,FinTech,Vijay Shekhar Sharma,Funding Round,4200000.0
33,2019-10-04,Dunzo,Customer Service,Lightbox,Series D,4200000.0
34,2019-10-02,Udaan,B2B,"Altimeter Capital, DST Global",Series D,4200000.0
35,2019-10-21,The Man Company,Consumer Goods,Ayushmann Khurana,Corporate Round,4200000.0
36,2019-09-05,FPL Technologies,FinTech,"Matrix Partners India, Sequoia India",Maiden Round,4200000.0
37,2019-09-04,Cashflo,FinTech,SAIF Partners,Series A,4200000.0
38,2019-09-04,Digital F5,"Advertising, Marketing",TIW Private Equity,Private Equity Round,4200000.0
39,2019-09-04,3rdFlix,SaaS,Exfinity Venture Partners,pre-series A,4200000.0
40,2019-09-04,75F,IoT,Breakthrough Energy Ventures,Series A,4200000.0
41,2019-09-04,Myelin Foundry,Information Technology,Endiya Partners,Seed,4200000.0
42,2019-09-04,Atomberg Technology,Consumer Technology,A91 Partners,Series A,4200000.0
43,2019-09-04,GOQii,Health and Wellness,Bennett Coleman and Company Ltd (BCCL),Series C,4200000.0
44,2019-09-03,Vyapar App,Accounting,"India Quotient, Axilor Ventures",Series A,4200000.0
45,2019-08-01,CarDekho,E-Commerce,SC GG India Mobility Holdings LLC,Series C,4200000.0
46,2019-08-01,Progcap,Finance,Sequoia India,Series A,4200000.0
47,2019-08-01,MyPetrolPump,Retail,Unknown,Seed Funding Round,4200000.0
48,2019-08-01,Alteria Capital,Finance,"Azim Premji, Binny Bansal",Single Venture,4200000.0
49,2019-08-01,Pine Labs,Information Technology,Pine Labs Pte Ltd,Corporate Round,4200000.0
50,2019-08-12,Meesho,E-Commerce,Naspers,Series D,4200000.0
51,2019-08-13,Cars24,E-Commerce,MS Dhoni,Series D,4200000.0
52,2019-08-13,Uniphore,Customer Service Platform,March Capital Partners,Series C,4200000.0
53,2019-08-23,Zendrive,Automotive,XL Innovate,Series B,4200000.0
54,2019-08-23,Lo! Foods,Consumer Goods,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed Round,4200000.0
