Keyword,Score
risk,7.512840650282242
brain,4.8742980224338694
help,4.870286738858883
dementia,4.594891331038378
people,3.950641437919022
disease,3.9384921966507163
diet,3.9267016351203536
study,3.9015014471515044
increase,3.78536941261788
link,3.5450840638533925
cancer,3.469057365022079
low,3.4398493514350803
new,3.3104740581717405
alzheimer,3.108368349088087
high,3.098032817109914
weight,3.0296518704790563
age,2.8576431183707065
type,2.3664329894221687
reduce,2.3367629126306326
food,2.187715162493465
