Keyword,Score
health,900.2056357949347
paho,719.7177524257531
america,433.27935743371955
country,348.57089249263504
organization,326.41675726389906
world,322.0763241013992
health organization,301.1835683866345
american,296.83634891850653
new,288.0462511160019
washington,285.61696313002966
pan,279.3275998605272
pan american,269.98873699777533
director,258.6235877745046
american health,254.07366499504178
disease,239.44788508843138
organization paho,203.71566551902652
year,200.83468962877453
world health,184.19760160284886
today,167.68711586072627
paho director,149.8357597559882
