Region,Date,Title,Summary
Africa,14 April 2025,Congo: Effectively raising community awareness to protect against mpox,"Brazzaville – The Republic of the Congo is one of 15 countries in the World Health Organization (WHO) African Region where the mpox outbreak remains active. The country has made risk communication and community engagement central to its response strategy. As of April 9, Congo had recorded 50 confirmed cases since the start of the outbreak, with only five active cases remaining and no deaths reported."
Africa,11 April 2025,Angola takes measures to improve access to safe water and curb cholera,"Luanda ‒ Manuel Domingos, community leader of the Mussenga neighbourhood in Icolo e Bengo province in northwest Angola, recalls a time when the water supply to his community was serviced by a “unreliable water tank.” This situation is common across Angola, where, according to government data, around 44% of the population has no access to safe drinking water and only 55% has adequate sanitation. In rural areas, these figures are even lower, increasing the risk of diseases such as cholera."
Africa,10 April 2025,Congo: Innovative tools to reduce maternal mortality,"Brazzaville – Congo is intensifying efforts to reduce maternal mortality by introducing innovative tools, including the labour monitoring guide. Also known as the partogram, this is used to monitor the well-being of both mother and baby during active labour."
Africa,07 April 2025,Niger: improving access to services to reduce maternal mortality,"Niamey – When 19-year-old Aichatou, from Birni in the Dosso region, found out she was pregnant with her first child in 2023, her hope was for a smooth pregnancy and safe delivery. But she was reluctant to visit a health centre. “My sisters told me the staff don’t pay enough attention to women during antenatal checkups, and that the care is often slow,” she says."
Africa,07 April 2025,Community approach contributing to maternal health in Senegal,"Dakar – Ndèye, 29, mother of three children and living in Guédiawaye in the outskirts of Dakar, says she has always had difficult pregnancies. “I gave birth at home for my first two pregnancies, and for my last child, the beginning was difficult. I was dizzy all the time and felt very tired, and yet I told myself that it would pass, that it was normal,” she explains."
Africa,04 April 2025,Côte d'Ivoire: self-testing extends cervical cancer screening services,"Abidjan – In Côte d'Ivoire, nearly 90% of cervical cancer screenings are conducted through self-testing, empowering women to take charge of their health. This approach allows for detection in a private, convenient way – an especially critical advancement given the alarming rise in cervical cancer cases in the country."
Africa,27 March 2025,Strengthening laboratory capacity revolutionizes TB treatment in Congo,"Brazzaville – Salomon*, in his 30s, arrives for his consultation with an envelope containing the results of his laboratory tests and an x-ray of his lungs, which he hands to Amélie Makoundou, public health assistant at the Brazzaville Tuberculosis (TB) Centre. After a thorough inspection, Makoundou says: “It’s okay, you’re cured.” Salomon remains impassive, as if he hasn’t heard what the assistant said. She repeats: “You can stop treatment, you are cured.” Salomon, who has just completed six months of treatment, thanks Makoundou and leaves with a broad smile."
Africa,24 March 2025,Togo makes progress in the fight against tuberculosis,"Lomé – In January 2024, Yao*, a 67-year-old farmer living in Agou, about 100 kilometres north-west of Lomé, experienced unusual discomfort that led him to seek medical attention. These included chest pains and unexplained intense fatigue that lasted for a fortnight. Following tests, he was diagnosed with tuberculosis (TB). “I was surprised and very sad to find out that I had the disease. I had suffered too much and I wanted to be cured by any means necessary,” he recalls."
Africa,24 March 2025,Advancing tuberculosis diagnostics to reach more people in the African region,"Brazzaville – Significant progress has been made in TB diagnostics in the past decade as countries in the African region embrace new technologies. However, many people still have no access to modern testing, which are often limited to major laboratories in large cities and leave out many due to high costs. Dr Jean de Dieu Iragena, a WHO expert on TB diagnostics in the African Region, discusses these technologies and how to bring them closer to people, so that challenges like multidrug-resistant TB (MDR-TB) can be properly managed and controlled."
Africa,13 March 2025,Providing mental health care in the wake of Marburg virus disease outbreak,"Kagera, Tanzania ‒ Domitina Kahira, a resident of Biharamulo District in Tanzania’s north-eastern Kagera Region, is treading a difficult path to recovery after losing her husband to Marburg virus disease in early January 2025."
Africa,12 March 2025,Mpox: Motorcycle ambulances saving lives in CAR,"Mbaïki – Cyrille Bakake is a motorcycle ambulance driver at the Bagandou health centre, about 100 kilometers from Bangui, the Central African Republic’s capital. This 30-year-old father of four, a farmer by trade, became an ambulance driver in 2018. His work is similar to that of any other ambulance driver, but his vehicle is a motorcycle."
Africa,03 March 2025,"Mampotseng Letuka, village health worker",
Africa,27 February 2025,Strengthening active cholera case finding in Angola,"Luanda – One morning in late January 2025, Julia Armando found her 68-year-old mother collapsed on the floor, suffering from severe diarrhoea and vomiting. “It’s a situation I’ve never seen before… it was a shock to see my mother lying on the floor without strength,” she says. Armando rushed her mother to the nearest cholera treatment centre, where she was treated and thankfully made a full recovery."
Africa,25 February 2025,"Dr Joseph Okwororo, rapid responder",
Africa,24 February 2025,Sustaining efforts to end river blindness disease in Congo,"Brazzaville – Onchocerciasis – commonly known as river blindness – is a major public health problem in Congo. Once confined to rural communities living close to rivers and farmlands, the disease is now present in urban settings, particularly in communities located close to watercourses."
Africa,18 February 2025,Scaling up mpox outbreak response in Sierra Leone,Freetown ‒ Sierra Leone is deploying a range of measures to control and end an outbreak of mpox in which 20 cases have so far been reported since the disease was confirmed on 13 January 2025.
Africa,14 February 2025,Mauritania progressing towards zero leprosy cases,"Nouakchott – Mauritania has witnessed a significant decline in leprosy cases in recent years thanks to sustained efforts that have led to improvements in prevention, detection and treatment. Only 17 new cases were recorded in 2023 compared with 42 reported in 2010."
